name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Korea,19211387,19452640,19817775,20293200,20864104,21514564,22227339,22984010,23765501,24552846,25012374,25765673,26513030,27261747,27984155,28704674,29435571,30130983,30838302,31544266,32240827,32882704,33505406,34103149,34692266,35280725,35848523,36411795,36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51606633,51709098,51780579
Latvia,1926568,1933995,1945956,1961660,1980396,2001570,2024678,2049314,2075182,2102010,2129584,2157660,2185873,2213805,2240947,2266938,2291471,2314506,2336318,2357389,2359164,2376389,2395674,2415819,2437186,2456130,2470989,2485073,2497921,2505953,2511701,2519421,2531080,2546011,2562047,2578873,2599892,2626583,2653434,2666955,2663146,2650581,2614338,2563289,2520742,2485054,2457226,2432851,2410027,2390477,2367549,2337172,2310176,2287955,2263123,2238799,2218351,2200325,2177324,2141668,2097553,2059710,2034324,2012647,1993785,1977523,1959535,1942247,1927170,1913826,1900448
Lithuania,2567407,2569617,2578051,2591374,2608525,2628752,2651634,2677006,2704988,2735866,2769879,2806924,2846393,2887072,2927385,2966165,3002792,3037458,3070698,3103509,3139689,3179041,3213622,3244438,3273894,3301652,3328664,3355036,3379514,3397842,3413202,3432947,3457179,3485192,3514205,3544543,3578914,3616367,3655049,3684255,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524237,3499534,3470817,3443066,3415209,3377073,3322525,3269903,3231297,3198234,3162911,3097292,3028119,2987773,2957689,2932366,2904908,2868234,2828398,2801541,2794135,2794890
Luxembourg,296005,297593,299500,301507,303449,305262,306938,308562,310258,312219,314585,317438,320699,324129,327360,330160,332423,334234,335829,337568,339174,342415,346600,350450,355049,358951,360728,361356,362010,362856,364152,365219,365525,365621,365997,366707,368354,370751,373450,377095,381857,386999,392171,397481,402921,408625,414228,419440,424699,430475,436303,441522,446166,451626,458098,465152,472641,479992,488647,497783,506953,518351,530952,543358,556322,569605,583459,596337,607950,620003,630413
Mexico,27026573,27780135,28578641,29418995,30311877,31272636,32281478,33337148,34439604,35591229,36786543,38025871,39306372,40619346,41970377,43359231,44779078,46234469,47720198,49236362,50778729,52354238,53973953,55619995,57293865,58993234,60702805,62414539,64131336,65849531,67561216,69267849,70973052,72671675,74359027,76030535,77689757,79339498,80970606,82579032,84169571,85748742,87312337,88850856,90362709,91843905,93294783,94720541,96116960,97482584,98785275,100105299,101493987,102890474,104272444,105669369,107155391,108744845,110405454,112095388,113748671,115367452,116935670,118453929,119936411,121347800,122715165,124041731,125327797,126577691,127792286
Netherlands,10113528,10264309,10381980,10493184,10615385,10750840,10889358,11026384,11186878,11347635,11486630,11638709,11805690,11965967,12127116,12294732,12456254,12598202,12729717,12877984,13038523,13194497,13328595,13439325,13545054,13666329,13774037,13856188,13941702,14038270,14149799,14247217,14312689,14367066,14424211,14491629,14572280,14665037,14760092,14848906,14951510,15069799,15184163,15290368,15382834,15459004,15530500,15610650,15707205,15812085,15925505,16046182,16148921,16225303,16281777,16319871,16346096,16381696,16445590,16530387,16615390,16693074,16754963,16804430,16865008,16939925,17030314,17131295,17231622,17344876,17441500
New Zealand,1909835,1949185,1997720,2049740,2096610,2141610,2187055,2236105,2289440,2337880,2381670,2432380,2488530,2541415,2591965,2640400,2687580,2728115,2758885,2788435,2828020,2875305,2929135,2992335,3058435,3117765,3153535,3164830,3165705,3164620,3170245,3185460,3210645,3245770,3278850,3298050,3308310,3327785,3343680,3357535,3390085,3495100,3531700,3572200,3620100,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5093600
Norway,3265127,3295871,3327736,3360892,3394243,3428210,3460779,3491935,3522996,3552852,3581241,3609801,3638921,3666538,3694339,3723172,3753013,3784533,3816488,3847710,3875757,3903034,3933001,3960614,3985262,4007319,4026151,4043204,4058674,4072514,4085620,4099703,4114786,4128434,4140098,4152518,4167357,4186905,4209489,4226909,4241476,4261738,4286397,4311984,4336614,4359187,4381339,4405158,4431465,4461915,4490973,4513747,4538157,4564856,4591909,4623293,4660673,4709156,4768215,4828716,4889253,4953089,5018574,5080171,5137427,5189898,5236152,5276965,5311916,5347893,5379472
Poland,24824007,25283013,25764322,26260482,26764490,27269742,27770044,28259605,28733123,29185902,29405729,29965300,30323900,30690900,31161200,31495900,31698000,31943900,32304800,32555100,32642270,32749400,33068000,33362700,33691008,34022130,34362133,34697576,35009862,35256645,35578019,35901961,36227381,36571418,36913515,37202981,37455681,37663756,37862063,37962808,38030500,38108500,38173500,38221000,38252000,38274500,38289000,38292000,38283500,38270000,38258477.5,38248076,38232301,38195177,38180249,38161313,38132277,38115967,38115909,38153389,38516689,38525670,38533789,38502396,38483957,38454576,38426809,38422346,38413139,38386476,38354173
Portugal,8439171,8493316,8556085,8581255,8605700,8640325,8683020,8712675,8749935,8800845,8857716,8929316,8993985,9030355,9035365,8998595,8930990,8874520,8836650,8757705,8680431,8643755,8630430.5,8633100.5,8754362.5,9093471,9355812,9455672.5,9558247.5,9661264.5,9766275,9851325,9911770.5,9957865,9996232,10023613,10032733.5,10030030.5,10019610,10005000,9983218,9960235,9952493.5,9964674.5,9991525,10026176,10063944.5,10108977,10160196,10217828,10289898,10362721.5,10419630.5,10458821,10483861,10503330,10522288,10542963.5,10558176.5,10568246.5,10573100,10557559.5,10514843.5,10457295,10401061.5,10358076,10325451.5,10300300,10283822,10286263,10297080.5
Slovak Republic,3463446,3508698,3558137,3598761,3661437,3726601,3787111,3844277,3899751,3946039,3994270,4191977,4238056,4282865,4327949,4373595,4413853,4450880,4483656,4518773,4528459,4559341,4596330,4640673,4691014,4739301,4789452,4840819,4891673,4940223,4984331,5017032,5054770,5091537,5127719,5161789,5192789,5223609,5251120,5276186,5297774,5283404,5306539,5324632,5347413,5363676,5373793,5383233,5390866,5395324,5400679,5379780,5378809,5378950,5382574,5387285,5391184,5397766,5406972,5418374,5431024,5398384,5407579,5413392.5,5418649,5423800.5,5430797.5,5439231.5,5446770.5,5454147,5458827
Slovenia,1466881,1480245,1493550,1508428,1521485,1533998,1545591,1556521,1566979,1576204,1580145,1595450,1604980,1614414,1630553,1650413,1669606,1690939,1703708,1714022,1726513,1729941,1741343,1753296,1766040,1778454,1786977,1799384,1810997,1824001,1884477,1896133,1910335,1922322,1932154,1941640,1980718,1989462,1999988,1999404,1998090,2001768,1995832,1990623,1988850,1987505,1991169,1986848,1982603,1985557,1990272,1992035,1995718,1996773,1997004,2001114,2008516,2019406,2022629,2042335,2049261,2052496,2056262,2059114,2061623,2063077,2064241,2066161,2070050,2089310,2100126
Spain,28069734,28219620,28399033,28600360,28818012,29048392,29290079,29543626,29811311,30096577,30402413,30729650,31023366,31296651,31609195,31954292,32283194,32682947,33113135,33441054,33752818,34216274,34571714,34921497,35287558,35687714,36118035,36563834,36971471,37289006,37526911,37764458,37987108,38160263,38325244,38467025,38571941,38682322,38764307,38821377,38860827,38941622,39147940,39356082,39547353,39718895,39884246,40049974,40214066,40369667,40554387,40766049,41423520,42196231,42859172,43662613,44360521,45236004,45983169,46367550,46562483,46736257,46766403,46593236,46455123,46410149,46449874,46532869,46728814,47105358,47351567
Sweden,7016496,7072824,7124675,7171458,7213487,7262384,7315622,7366998,7414468,7453705,7484655,7519998,7561582,7604326,7661351,7733852,7807795,7867942,7911980,7967732,8042706,8098145,8122154,8136779,8160562,8192567,8222309,8251653,8275775,8293728,8310477,8320482,8325260,8329025,8336595,8350378,8369824,8397797,8436483,8492959,8558834,8617376,8668065,8718558,8780741,8826944,8840999,8846059,8850975,8857879,8872112,8895963,8924960,8958232,8993534,9029567,9080506,9148093,9219639,9298512,9378131,9449216,9519379,9600374,9696105,9799183,9923086,10057695,10175215,10278888,10353444
Switzerland,4692704,4748057,4811514,4875565,4938609,5001962,5065497,5130046,5196395,5262793,5327872,5434294,5573815,5694247,5789228,5856472,5918002,5991785,6067714,6136387,6180882,6213405,6260956,6307348,6341406,6338632,6302505,6281175,6281737,6294364,6319409,6354073,6391309,6418774,6441865,6470366,6504125,6545107,6593387,6646912,6712273,6799979,6875364,6938265,6993795,7040687,7071851,7088906,7110002,7143991,7184250,7226647,7284754,7339002,7389626,7437116,7483935,7551117,7647676,7743832,7824910,7912396,7996861,8089346,8188646,8282398,8373334,8451834,8514327,8575280,8636563
Turkey,20807000,21351000,21952000,22569000,23204000,23857000,24540000,25250000,25981000,26733000,27506000,28227000,28931000,29652000,30391000,31149000,31936000,32750000,33586000,34443000,35321000,36215000,37133000,38073000,39037000,40026000,40916000,41769000,42641000,43531000,44439000,45540000,46688000,47864000,49070000,50307000,51480000,52370000,53268000,54192000,55120000,56055000,56986000,57913000,58837000,59756000,60671000,61582000,62464000,63364000,64268751,65166330.5,66002505.5,66794551,67598736,68435380,69295253,70158111.5,71051689,72039215,73142162,74223642,75175836,76147634,77181894,78218488,79277971,80312708,81407211,82579448,83384688
